NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
163,E2942700057111,河合第一中学校,奈良県河合町池部1-13-1,1,,,34.580511728389,135.73696018976,
164,E2942700058111,河合第一小学校,奈良県河合町池部1-15-10,1,,,34.580026988142,135.73619931685,
165,E2942700059111,池部集会所,奈良県河合町池部1-3-3,,,,34.579625687912,135.73804410398,
166,E2942700062111,緑ヶ丘集会所,奈良県河合町池部3-1-8,,,,34.578367278847,135.73637650907,
167,E2942700064111,中山台集会所,奈良県河合町中山台1-16,1,,,34.57969992019,135.72016185911,
168,E2942700072111,長楽集会所,奈良県河合町長楽85,,,,34.582996,135.745804,
169,E2942700067111,薬井集会所,奈良県河合町薬井25-5,,,,34.586666450496,135.710736149,
170,E2942700074111,西大和学園,奈良県河合町薬井295,1,,,34.58802772879,135.71402750563,
171,E2920500001111,新沢小学校体育館,奈良県橿原市一町1296,1,,,34.475568753398,135.77076075211,
172,E2920500002111,金橋小学校体育館,奈良県橿原市雲悌町216-1,1,,,34.500160692569,135.76722306084,
173,E2920500004111,金橋地区公民館,奈良県橿原市雲梯町927,1,,,34.500399772707,135.77220663597,
174,E2920500003111,橿原運動公園貴賓室,奈良県橿原市雲梯町３２３－２外,1,,,34.49752457891,135.77125202331,
175,E2920500005111,耳成地区公民館,奈良県橿原市葛本町593,1,,,34.523167659285,135.80587352113,
176,E2920500006111,耳成小学校体育館,奈良県橿原市葛本町625,1,,,34.522129308555,135.80563770988,
177,E2920500007111,畝傍南小学校体育館,奈良県橿原市見瀬町164,1,,,34.479942714225,135.79271649661,
178,E2920500008111,畝傍地区公民館,奈良県橿原市見瀬町202-1,1,,,34.480661591097,135.79264284722,
179,E2920500009111,光陽中学校体育館,奈良県橿原市古川町20,1,,,34.487741314197,135.77208367527,
180,E2920500010111,今井地区公民館,奈良県橿原市今井町2-3-23,1,,,34.505312235162,135.78888844354,
181,E2920500011111,今井小学校体育館,奈良県橿原市今井町3-4-46,1,,,34.50524777613,135.78574506481,
182,E2920500012111,福祉センター「やわらぎの郷」,奈良県橿原市十市町63-1,1,,,34.531206247796,135.80985072197,
183,E2920500013111,大成中学校体育館,奈良県橿原市小綱町77-2,1,,,34.5094849586,135.78344260936,
184,E2920500015111,晩成小学校体育館,奈良県橿原市小房町1-54,1,,,34.505633667592,135.79705369203,
185,E2920500014111,市立中央体育館,奈良県橿原市小房町11-1,1,,,34.500164274072,135.79735582941,
186,E2920500016111,中央公民館,奈良県橿原市小房町9-23,1,,,34.501561282148,135.79742556684,
187,E2920500017111,耳成西小学校体育館,奈良県橿原市上品寺町455-1,1,,,34.522203538447,135.7898273345,
188,E2920500018111,耳成南小学校体育館,奈良県橿原市常盤町3,1,,,34.51876084782,135.8094203329,
189,E2920500019111,八木中学校体育館,奈良県橿原市新賀町33,1,,,34.519444563323,135.80448247243,
190,E2920500020111,多地区公民館,奈良県橿原市新口町244-2,1,,,34.526331377183,135.78919388729,
191,E2920500021111,橿原中学校体育館,奈良県橿原市西新堂町26-1,1,,,34.529924375868,135.78647853113,
192,E2920500022111,畝傍中学校体育館,奈良県橿原市石川町204,1,,,34.48533678471,135.80153856827,
193,E2920500023111,新沢地区公民館,奈良県橿原市川西町611,1,,,34.476744486403,135.77150176599,
194,E2920500025111,橿原市新沢千塚公園拠点施設,奈良県橿原市川西町855-1,1,,,34.479852832643,135.77286262551,
195,E2920500026111,香久山地区公民館,奈良県橿原市膳夫町477,1,,,34.508262524987,135.82297656718,
196,E2920500027111,香久山小学校体育館,奈良県橿原市膳夫町98-1,1,,,34.504676811554,135.8209264631,
197,E2920500028111,曽我川緑地体育館,奈良県橿原市曽我町1212,1,,,34.51818958155,135.76884754429,
198,E2920500029111,真菅地区公民館,奈良県橿原市曽我町1281-18,1,,,34.512027840559,135.77879297039,
199,E2920500030111,真菅小学校体育館,奈良県橿原市曽我町710,1,,,34.514961811776,135.77856638565,
200,E2920500031111,真菅北小学校体育館,奈良県橿原市大垣町220-1,1,,,34.528130712556,135.77955755278,
201,E2920500032111,大久保コミュニティセンター,奈良県橿原市大久保町15-1,1,,,34.498573,135.794281,
202,E2920500033111,畝傍北小学校体育館,奈良県橿原市大久保町156,1,,,34.496284338785,135.79471996291,
203,E2920500034111,畝傍東小学校体育館,奈良県橿原市大軽町283,1,,,34.479984269761,135.80158152513,
204,E2920500035111,鴨公地区公民館,奈良県橿原市醍醐町42-2,1,,,34.504625319594,135.80389287435,
205,E2920500036111,ひがしたけだドーム,奈良県橿原市東竹田町124-1,1,,,34.526534790228,135.81984165889,
206,E2920500037111,鴨公小学校体育館,奈良県橿原市縄手町324,1,,,34.500988325998,135.80306162575,
207,E2920500038111,香久山体育館,奈良県橿原市南山町624,1,,,34.491797908889,135.82408004544,
208,E2920500039111,白橿地区公民館,奈良県橿原市白橿町2-32-11,1,,,34.475025037474,135.79109404806,
209,E2920500041111,白橿中学校体育館,奈良県橿原市白橿町8-12-1,1,,,34.468523720533,135.79194719956,
210,E2920500042111,白橿小学校体育館,奈良県橿原市白橿町8-19-1,1,,,34.470457696188,135.7903134755,
211,E2920500043111,奈良県立畝傍高等学校体育館,奈良県橿原市八木町3-13-2,1,,,34.510073652944,135.80075235648,
212,E2920500044111,飛騨コミュニティーセンター,奈良県橿原市飛騨町94-2,1,,,34.496526826215,135.80325710782,
213,E2920500045111,奈良県立橿原高等学校体育館,奈良県橿原市北越智町282,1,,,34.475986366524,135.77740121097,
214,E2920500046111,八木地区公民館,奈良県橿原市北八木町2-1-6,1,,,34.511495541672,135.79606514671,
215,E2921100026111,當麻スポーツセンター,奈良県葛󠄀城市竹内689,,,,34.50870402,135.7038784,
216,E2921100012111,新庄中学校体育館,奈良県葛城市新庄248,,,,34.487092080598,135.7161307553,
217,E2921100012112,新庄中学校武道場,奈良県葛城市新庄248,,,,34.487188,135.715539,
218,E2921100016111,コミュニティセンター,奈良県葛城市新町337,,,,34.482159873605,135.74142640225,
219,E2921100019111,當麻小学校体育館,奈良県葛城市染野32,,,,34.52075080493,135.69628546571,
220,E2921100021111,葛󠄀城市福祉総合ステーション（指定福祉避難所を除く）,奈良県葛城市染野789-1,,,,34.520311317687,135.6939561513,
221,E2921100021121,葛󠄀城市福祉総合ステーション（施設の一部分）,奈良県葛城市染野789-1,,,要配慮者,34.520309590106,135.69390794374,
222,E2921100028112,白鳳中学校武道場,奈良県葛城市長尾14-1,,,,34.512241,135.708978,
223,E2921100028111,白鳳中学校体育館,奈良県葛城市長尾14-1,,,,34.512216530834,135.70896352179,
224,E2921100032111,新庄スポーツセンター,奈良県葛城市笛堂271,,,,34.487176446113,135.74500445794,
225,E2921100036111,磐城小学校体育館,奈良県葛城市南今市61,,,,34.506665109186,135.70982870742,
226,E2921100038112,葛󠄀城市民体育館,奈良県葛城市南藤井17,,,,34.485330815528,135.71425536757,
227,E2921100038111,葛󠄀城市中央公民館,奈良県葛城市南藤井17,,,,34.48568755905,135.71471759021,
228,E2921100040111,新庄小学校体育館,奈良県葛城市南道穂176-1,,,,34.489658734251,135.72052832581,
229,E2921100045111,忍海小学校体育館,奈良県葛城市忍海338-1,,,,34.475074633086,135.73118954299,
230,E2921100054111,新庄北小学校体育館,奈良県葛城市疋田612,,,,34.500170890266,135.72534499477,
231,E2921100064111,いきいきセンター,奈良県葛城市林堂123,,,,34.484090912355,135.72333120119,
232,E2944100001111,河原屋公民館,奈良県吉野町河原屋139,1,,,34.394022207396,135.87281889998,
233,E2944100002111,吉野中学校,奈良県吉野町河原屋200,1,,,34.39595707352,135.87359200692,
234,E2944100003111,樫尾林業研修会館,奈良県吉野町樫尾127-2,1,,,34.376805978764,135.90755442919,
235,E2944100004111,喜佐谷多目的研修会館,奈良県吉野町喜佐谷152,1,,,34.366163,135.890639,
236,E2944100006111,吉野山ふるさとセンター,奈良県吉野町吉野山2548-1,1,,,34.369084010598,135.8572731681,
237,E2944100008111,吉野町野外活動拠点施設,奈良県吉野町宮滝103,1,,,34.376528027505,135.89454141037,
238,E2944100009111,中荘総合研修会館,奈良県吉野町宮滝229-2,1,,,34.377437,135.892819,
239,E2944100010111,宮滝河川交流センター,奈良県吉野町宮滝82-1,1,,,34.376593,135.896354,
240,E2944100011111,橋屋林業研修会館,奈良県吉野町橋屋202,1,,,34.391343012619,135.84217155287,
241,E2944100012111,（旧）国栖幼稚園,奈良県吉野町窪垣内49-1,1,,,34.388488496185,135.92818506392,
242,E2944100013111,御園多目的集会所,奈良県吉野町御園362,1,,,34.377562,135.887861,
243,E2944100014111,香束多目的集会場,奈良県吉野町香束643-1,1,,,34.418845689,135.903989348,
244,E2944100015111,国栖公民館,奈良県吉野町国栖281,1,,,34.385806349611,135.93320655952,
245,E2944100016111,佐々羅農事集会所,奈良県吉野町佐々羅119-2,1,,,34.409555208266,135.88222224593,
246,E2944100017111,龍門総合会館,奈良県吉野町佐々羅174,1,,,34.409728789379,135.88050341389,
247,E2944100018111,佐々羅公民館,奈良県吉野町佐々羅446,1,,,34.409432936767,135.87799444896,
248,E2944100019111,左曽交流促進センター,奈良県吉野町左曽80-1,1,,,34.386810709575,135.83711475611,
249,E2944100020111,菜摘ふれあいセンター,奈良県吉野町菜摘237-1,1,,,34.382184245289,135.90007479785,
250,E2944100021111,吉野見附「三茶屋」,奈良県吉野町三茶屋328-1,1,,,34.421337175091,135.93795072111,
251,E2944100022111,三茶屋生活改善センター,奈良県吉野町三茶屋333-3,1,,,34.421655764674,135.93751740075,
252,E2944100023111,三津ひばり会館,奈良県吉野町三津112,1,,,34.444495395009,135.88346339389,
253,E2944100024111,山口研修会館,奈良県吉野町山口485-3,1,,,34.414447463047,135.89058167495,
254,E2944100025111,吉野運動公園総合体育館,奈良県吉野町山口910,1,,,34.411973148432,135.89208538029,
255,E2944100026111,志賀公民館,奈良県吉野町志賀862-2,1,,,34.408376467475,135.8721982935,
